Date,Open,High,Low,Close,Volume
2/14/2014,634,643.849976,629.349976,641.799988,1062278
2/17/2014,642,652,641.099976,650.400024,912530
2/18/2014,648.5,664.400024,647.400024,660.400024,1254918
2/19/2014,656.200012,672.25,655,670.049988,1015237
2/20/2014,665.799988,667.450012,660.849976,662.75,862109
2/21/2014,659.849976,669.599976,659.700012,664.400024,760968
2/24/2014,662.099976,673,655.75,671,1254746
2/25/2014,674,676,666,671.099976,1005140
2/26/2014,670,679.200012,668.549988,677.400024,1137835
2/28/2014,677.400024,682.900024,665.150024,669.599976,1225896
3/3/2014,665.200012,672,663.200012,666.200012,919608
3/4/2014,666,673.849976,664.25,671.700012,1610967
3/5/2014,673.5,675,662.5,669.75,1001746
3/6/2014,673,677.700012,668.099976,675.599976,1237170
3/7/2014,679.599976,714.900024,676.200012,711.450012,5691892
3/10/2014,706.5,736.900024,700,734.450012,6530963
3/11/2014,734.5,740,719.549988,725.150024,3250118
3/12/2014,721.25,733,716.5,725.549988,1777554
3/13/2014,727.5,749.5,727.5,742.349976,2862113
3/14/2014,735,739.900024,724,732.150024,3052120
3/18/2014,732.150024,744.799988,728.299988,734,2025681
3/19/2014,740,743.299988,735.75,738.450012,1513784
3/20/2014,738.450012,738.450012,728,730.200012,1298771
3/21/2014,735.150024,737.5,731.200012,733.849976,1881398
3/24/2014,734.5,752.900024,734,750.650024,2928465
3/25/2014,750,760.549988,747.75,750.150024,2007773
3/26/2014,752.799988,756.299988,744.099976,746.049988,2352328
3/27/2014,750,760.75,742,746.75,6138733
3/28/2014,749.950012,754.099976,735.049988,744.950012,3040225
3/31/2014,747.950012,753,743.099976,748.799988,2065607
4/1/2014,751.5,753.549988,732.549988,738.099976,2012958
4/2/2014,744.950012,746,721.900024,731.900024,2599688
4/3/2014,736,738,726.25,728.799988,1389926
4/4/2014,725.549988,733,720.049988,725.450012,1855602
4/7/2014,725,732,723.099976,725.349976,2933289
4/9/2014,725.349976,744.900024,721.75,741.849976,2630096
4/10/2014,744.650024,748.650024,736,739.400024,1873698
4/11/2014,734.049988,744.799988,733.900024,738.150024,1301988
4/15/2014,738.150024,738.799988,718.099976,723.950012,2092967
4/16/2014,723.200012,731.799988,721.099976,725.950012,893098
4/17/2014,716.25,721.299988,707.299988,718.700012,3075582
4/21/2014,718.700012,726.5,713,716.450012,1746938
4/22/2014,721.900024,729.599976,717.400024,727.549988,2848956
4/23/2014,724.900024,739.450012,722.599976,733,5256336
4/24/2014,733,733,733,733,0
4/25/2014,733.150024,738,725,726.400024,1553111
4/28/2014,722.25,729.25,720.549988,725.200012,1220715
4/29/2014,726.400024,727.5,712.5,715.799988,1660309
4/30/2014,716,729.900024,711.650024,721.299988,2196730
5/2/2014,721.299988,727.549988,715.549988,717.099976,1478823
5/5/2014,719.849976,723.099976,714,716.700012,1298081
5/6/2014,720.200012,724.599976,714.099976,720.200012,1546140
5/7/2014,718.5,727,711.450012,715.599976,1649656
5/8/2014,717.150024,723,715.5,718.299988,1880107
5/9/2014,720,760,720,756.799988,4094111
5/12/2014,755.099976,794.849976,754.5,792.150024,4390340
5/13/2014,800,800,782.5,788.150024,3166304
5/14/2014,785,794.799988,774.25,775.450012,2125375
5/15/2014,769,791.150024,766.049988,788.349976,2366547
5/16/2014,800,854,787.650024,804.700012,8217092
5/19/2014,815.900024,835,808,811.900024,2630701
5/20/2014,816,821.599976,804.349976,816.049988,1589258
5/21/2014,812.349976,814.5,805,809.5,910597
5/22/2014,812,815,798,802.599976,1951614
5/23/2014,799,803,782.700012,789.650024,2454734
5/26/2014,799,804.049988,790,797.150024,4348808
5/27/2014,800,810.650024,788.349976,804.900024,1904881
5/28/2014,799.900024,826.75,799.5,823.450012,3588891
5/29/2014,822.599976,830.75,807.400024,810.25,3421002
5/30/2014,815,822.799988,730,792.75,8201886
6/2/2014,793.5,822.349976,793.5,819.400024,2020783
6/3/2014,823,827.849976,814,824.349976,906037
6/4/2014,822.400024,829.700012,815.099976,816.700012,716085
6/5/2014,811.799988,815.400024,801,805.450012,1918618
6/6/2014,813,821,801,815.25,2641319
6/9/2014,821.900024,830,815,819.450012,2334980
6/10/2014,821.150024,823.599976,810,816.650024,1249836
6/11/2014,817,829.849976,810,820.5,1935943
6/12/2014,824.5,844.950012,812.849976,839.849976,3183012
6/13/2014,844,856,831.650024,835.400024,3053221
6/16/2014,831,842.799988,830.299988,839,1327470
6/17/2014,836,848.799988,827.349976,846.549988,1747030
6/18/2014,847.099976,851.400024,828.75,834.849976,1343657
6/19/2014,837.099976,839.950012,822.200012,825.75,1180249
6/20/2014,826,831.75,819.349976,821.950012,742442
6/23/2014,824,826.549988,815.299988,821.450012,1460211
6/24/2014,825.349976,832.75,825,829,1266556
6/25/2014,829,833.200012,823,824.099976,1582656
6/26/2014,820,826.599976,808.650024,812.400024,5452066
6/27/2014,817.849976,822,814,816.200012,1285740
6/30/2014,819.900024,832.700012,819.900024,821.549988,1544025
7/1/2014,823,827.950012,815,823.299988,1910343
7/2/2014,830.799988,842,825.5,839.900024,1906681
7/3/2014,841,845.299988,831.349976,836.799988,1515685
7/4/2014,836.799988,858.950012,835.099976,856.650024,1407997
7/7/2014,859.900024,860.700012,835.849976,840.450012,2032992
7/8/2014,844,848.349976,820,829.25,1683068
7/9/2014,828,834.849976,818,830.299988,1448888
7/10/2014,830.299988,848,812.25,823.349976,2464386
7/11/2014,821.099976,831.450012,808.799988,811.799988,2299695
7/14/2014,815,820,807.150024,817.450012,1230402
7/15/2014,820.75,828.799988,816.5,826.799988,1523009
7/16/2014,829.5,838.5,817.900024,835.75,2397325
7/17/2014,838.700012,839,829.5,831.799988,1259775
7/18/2014,828.900024,836.799988,822,832.450012,1822108
7/21/2014,841.700012,846.950012,825.25,827.450012,2453414
7/22/2014,829.900024,842.650024,827,839.849976,1742588
7/23/2014,843.099976,845,835,836.299988,1962463
7/24/2014,836,844,833,842.25,1069650
7/25/2014,841,849.799988,834.150024,835.5,2666488
7/28/2014,838.5,839.799988,828,829.549988,971238
7/30/2014,829.549988,841.900024,826.849976,838.799988,1171345
7/31/2014,837.900024,839.900024,828.549988,834,2975336
8/1/2014,826.049988,827.799988,812,815.450012,1707115
8/4/2014,819,822.700012,807.099976,813,1840761
8/5/2014,817,823,809.900024,820.200012,1519276
8/6/2014,815.049988,819.549988,807.349976,810,845350
8/7/2014,812.900024,818.5,810,811.5,983435
8/8/2014,805,807.799988,795,796.150024,1862670
8/11/2014,801,802.849976,791.400024,792.950012,1406556
8/12/2014,801,808.5,792,807.200012,1650768
8/13/2014,810,815.75,802.650024,812.400024,1959955
8/14/2014,814.099976,831.650024,813.299988,826.700012,2968306
8/18/2014,826.700012,834.5,823.599976,832.349976,1675542
8/19/2014,833,837.5,822.25,823.849976,1973214
8/20/2014,829,834.599976,819,820.549988,2358713
8/21/2014,822,835.200012,821,832.5,1597620
8/22/2014,834.349976,848.75,828.049988,846.75,2503822
8/25/2014,843,852.799988,837.200012,843.450012,1664016
8/26/2014,844.5,848.5,838.099976,842.5,1041314
8/27/2014,846,846,834,836.599976,1213242
8/28/2014,837.5,845.5,834,843.549988,1997863
9/1/2014,843.549988,849,838.599976,841.200012,1038664
9/2/2014,843.099976,861.099976,838.650024,859.200012,2860563
9/3/2014,865,865,851.599976,856.650024,2308695
9/4/2014,858.049988,859,848.5,851.849976,1601742
9/5/2014,852,855.549988,844.099976,848.450012,958802
9/8/2014,851,867.799988,849.450012,864.75,2447086
9/9/2014,860.099976,869.900024,857.799988,865.599976,1915261
9/10/2014,865,865,854.099976,857.299988,1078563
9/11/2014,857.400024,863.099976,853,854.349976,1633216
9/12/2014,850.099976,858,848.950012,855.700012,1521639
9/15/2014,850,865,850,860.349976,1452272
9/16/2014,861,862.049988,848,851,1269067
9/17/2014,855,855.900024,842.099976,846.400024,1976474
9/18/2014,844.75,861,842.25,858.150024,1663142
9/19/2014,860,865,851.400024,860.25,1635527
9/22/2014,856.950012,858.5,851,856.849976,1633579
9/23/2014,856.049988,857.849976,845.599976,848.849976,1179244
9/24/2014,847.099976,857.299988,845.049988,855.450012,1666374
9/25/2014,853,865.599976,842.099976,849.950012,4148990
9/26/2014,849.950012,879,845,871.650024,2470563
9/29/2014,873,877.349976,861.200012,865.099976,2170567
9/30/2014,864.200012,879.799988,861.150024,872.650024,3008858
10/1/2014,866,871.150024,860.5,868,1467547
10/7/2014,868,868,854.099976,862.450012,1256572
10/8/2014,860.549988,870,858.299988,867.599976,785096
10/9/2014,874,892.950012,868.25,887.599976,1912605
10/10/2014,883.049988,885.150024,864.900024,867.299988,1066745
10/13/2014,864,878,855.650024,876.799988,1344128
10/14/2014,885,885.950012,865.150024,868.349976,1816560
10/15/2014,868.349976,868.349976,868.349976,868.349976,0
10/16/2014,868.400024,874,855.049988,858.849976,1383271
10/17/2014,860.25,888.099976,857.099976,885.25,2494480
10/20/2014,894,909.599976,890.150024,893.799988,2383001
10/21/2014,900,905.75,887.650024,895.549988,4009288
10/22/2014,905.049988,906.349976,891.25,893.650024,1142886
10/27/2014,893.650024,907.299988,893.650024,897.25,1681192
10/28/2014,899,900.200012,894,895.299988,1450873
10/29/2014,900.200012,902.5,890,891.549988,1974047
10/30/2014,889.900024,899.950012,887.099976,896.650024,2684545
10/31/2014,900.099976,914.599976,897.349976,911.849976,2526497
11/3/2014,915.200012,919.299988,905.400024,910.700012,1809912
11/5/2014,910.700012,920.299988,910.25,912.799988,1881045
